category,phrase,doc_count,mean_score,relevant_manual_review
Emerging/Unmapped,infrastructure climate change,1,0.7503,
Emerging/Unmapped,disaster reconstruction projects,1,0.742,
Emerging/Unmapped,ai crisis management,1,0.7234,
Emerging/Unmapped,disaster impacts,1,0.7054,
Emerging/Unmapped,disasters stakeholder,1,0.6942,
Emerging/Unmapped,state disaster impact,1,0.6366,
Emerging/Unmapped,impacts climate extreme,1,0.4486,
Emerging/Unmapped,58 pavement performance,1,0.4181,
Emerging/Unmapped,road assets underwent,1,0.4038,
Emerging/Unmapped,indonesia event,1,0.3841,
Resilience,resilience transportation relatesto,1,0.8324,
Resilience,disaster resilience infrastructure,1,0.7643,
Resilience,earthquake resilient lifelines,1,0.7387,
Resilience,disaster resilience transportation,1,0.7361,
Resilience,analyze resilience transportation,1,0.7344,
Resilience,resilience road asset,1,0.7331,
Resilience,resilience transportation systems,1,0.716,
Resilience,resilience assessment transport,1,0.7147,
Resilience,transportation infrastructure resilience,1,0.7024,
Resilience,resilience transportation dots,1,0.7019,
Recoverability,recovery controller,1,0.2559,
Recoverability,recovery paths specified,1,0.2261,
Recoverability,recovery mitigation remainder,1,0.1845,
Recoverability,recovery periods,1,0.1768,
Recoverability,recovery recovery progress,1,0.1714,
Recoverability,terms recovery timeframes,1,0.095,
Recoverability,recovery processes severe,1,0.0685,
Adaptability,adaptation mitigating emissions,1,0.3174,
Adaptability,development adaptive demands,1,0.1967,
Adaptability,susceptibility absorption adaptation,1,0.1865,
Safety,centricagenciestobecomingmultimodalagencieswithrolesinfinancing planning safety,1,0.3792,
Safety,robustness safety privacy,1,0.2384,
Safety,comply health safety,1,0.119,
Operational Performance,disaster resilient operations,1,0.6417,
Operational Performance,operations operations exclude,1,0.0063,
Reliability,40 higher reliability,1,0.3115,
Reliability,reliability restoration discussed,1,0.2885,
Responsiveness,increase response,1,0.1521,
Responsiveness,response minimizing likelihood,1,0.03,
Robustness,robustness safety privacy,1,0.2384,
Robustness,robust view range,1,0.0099,
Accessibility,communities lack access,1,0.1637,
Connectivity,variations strong interconnectivity,1,0.0308,
Mobility,electric micro mobility,1,0.0853,
Sustainability,economic sustainability growth,1,0.2446,
